300.014, 129.949, 5.745,  6.326 False
299.824, 129.983, 5.781,  6.359 False
299.633, 130.017, 5.815,  6.392 False
299.442, 130.052, 5.847,  6.425 False
299.249, 130.088, 5.881,  6.458 False
299.056, 130.124, 5.914,  6.491 False
298.861, 130.161, 5.949,  6.524 False
298.666, 130.199, 5.982,  6.557 False
298.469, 130.238, 6.016,  6.590 False
298.272, 130.278, 6.050,  6.623 False
298.074, 130.318, 6.083,  6.656 False
297.874, 130.359, 6.116,  6.689 False
297.674, 130.402, 6.149,  6.722 False
297.473, 130.445, 6.181,  6.755 False
297.270, 130.487, 6.214,  6.788 False
297.066, 130.529, 6.247,  6.821 False
296.862, 130.572, 6.279,  6.854 False
296.656, 130.616, 6.310,  6.887 False
296.450, 130.659, 6.342,  6.920 False
296.242, 130.703, 6.372,  6.953 False
296.034, 130.748, 6.404,  6.986 False
295.824, 130.792, 6.434,  7.019 False
295.614, 130.838, 6.465,  7.052 False
295.403, 130.884, 6.495,  7.085 False
295.190, 130.930, 6.527,  7.118 False
294.977, 130.977, 6.557,  7.151 False
294.763, 131.025, 6.588,  7.184 False
294.548, 131.072, 6.618,  7.217 False
294.332, 131.120, 6.649,  7.250 False
294.114, 131.167, 6.678,  7.283 False
293.896, 131.215, 6.709,  7.316 False
293.677, 131.263, 6.739,  7.349 False
293.457, 131.311, 6.769,  7.382 False
293.236, 131.360, 6.799,  7.415 False
293.014, 131.409, 6.829,  7.448 False
292.791, 131.458, 6.858,  7.481 False
292.567, 131.507, 6.889,  7.514 False
292.342, 131.556, 6.917,  7.547 False
292.116, 131.606, 6.946,  7.580 False
291.889, 131.655, 6.974,  7.613 False
291.661, 131.705, 7.003,  7.646 False
291.432, 131.755, 7.031,  7.679 False
291.203, 131.805, 7.060,  7.712 False
290.972, 131.855, 7.088,  7.745 False
290.740, 131.906, 7.117,  7.778 False
290.508, 131.956, 7.145,  7.811 False
290.274, 132.005, 7.175,  7.844 False
290.039, 132.055, 7.203,  7.877 False
289.804, 132.105, 7.233,  7.910 False
289.567, 132.156, 7.261,  7.943 False
289.330, 132.206, 7.290,  7.976 False
289.091, 132.256, 7.318,  8.009 False
288.852, 132.306, 7.347,  8.042 False
288.611, 132.356, 7.375,  8.075 False
288.370, 132.406, 7.404,  8.108 False
288.128, 132.456, 7.432,  8.141 False
287.884, 132.504, 7.458,  8.174 False
287.639, 132.550, 7.484,  8.207 False
287.393, 132.596, 7.514,  8.240 False
287.146, 132.641, 7.542,  8.273 False
286.897, 132.682, 7.566,  8.306 False
286.648, 132.722, 7.593,  8.339 False
286.397, 132.760, 7.621,  8.372 False
286.145, 132.796, 7.650,  8.405 False
285.891, 132.831, 7.679,  8.438 False
285.637, 132.863, 7.705,  8.471 False
285.381, 132.894, 7.735,  8.504 False
285.124, 132.922, 7.763,  8.537 False
284.866, 132.949, 7.794,  8.570 False
284.607, 132.973, 7.819,  8.603 False
284.346, 132.996, 7.851,  8.636 False
284.085, 133.016, 7.877,  8.669 False
283.822, 133.034, 7.907,  8.702 False
283.559, 133.051, 7.937,  8.735 False
